Unnamed: 0,y tonz,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"Over 4,000 wells are producing water in the Subbasin for a variety of uses summarized in Table 2-5. DWR’s Well Completion Report Map Application12 classifies wells as domestic, production, and municipal (public supply); the majority of wells classified as production wells are assumed to be used for agricultural irrigation, with some production wells used for industrial purposes. 
Figure 2-15, Figure 2-16, and Figure 2-17 show the density in the Subbasin of the domestic, production (agricultural and industrial), and public supply wells, respectively. Approximately 47% of the known wells in the Subbasin are domestic wells, 27% are classified as production wells, and only 0.34% are used for public supply (municipal wells). Domestic and production wells have a similar distribution in the Subbasin, with most wells located in the eastern portion of the Subbasin where agricultural land uses are most extensive and surface water supplies are not available. Some of the domestic wells identified by DWR may be classified as de minimis extractors, defined as pumping less than 2 AF/yr for domestic purposes.",Figure 2-15,"1. How are domestic wells mapped (density/point/none)?
Domestic wells are mapped using a density map."
WQ,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"The primary non-point source constituents of potential concern identified by prior studies in the Sacramento Valley are arsenic, boron, nitrate, and salinity. Of these, nitrate and salinity are the subject of most regional groundwater planning efforts. Arsenic and boron are naturally occurring COCs and are not commonly linked to groundwater management practices, but may affect drinking water supply and/or agricultural production.&&&
The main conclusions of this comprehensive study are as follows (USGS, 2008):
Groundwater samples were analyzed for volatile organic compounds (VOCs), pesticides and pesticide degradates, constituents of special interest, pharmaceutical compounds, nutrients, major and minor ions, trace elements, radioactivity, and microbial indicators. Regulatory thresholds apply to treated water that is served to the consumer, not to raw ground water. However, to provide some context for the results, concentrations of constituents measured in the raw ground water were compared with health-based thresholds established by the U.S. Environmental Protection Agency (USEPA) and the California Department of Public Health (CDPH). All detections of VOCs, pesticides, and pesticide degradates were below health-based thresholds, and most were less than one-hundredth of the threshold values. All detections of perchlorate, and radioactive constituents were below established thresholds. Arsenic, nitrate, and boron were the only constituents detected at concentrations above health-based thresholds. Total dissolved solids, specific conductance, pH, iron, chloride, sulfate, and manganese were detected at concentrations above the SMCL-CA, a non-enforceable threshold set for aesthetic concerns. Arsenic and boron are generally considered to be naturally occurring within the aquifer sediments and might leach into groundwater under certain geochemical conditions, then are pumped out via wells. Arsenic can be a health hazard at relatively low concentration of 0.01 milligram per Liter (mg/L). Boron is mostly of concern for irrigating crops, as many crops have a low tolerance to boron, at levels below human health hazard level of 1,000 mg/L. In the Corning Subbasin, boron was detected at low levels (USGS, 2011), and therefore is not a COC in the Subbasin.
Nitrate can be naturally occurring, but when encountered at higher than typical natural background concentrations (generally above 3 mg/L) human activity is often the source of the constituent in groundwater. Nitrate is considered a human health hazard, particularly for pregnant women and infants Salinity is not generally a high risk for drinking water and primarily affects taste, odor, damage to pipes and pumps, and reduced effectiveness when treating for other constituents. However, many crops have low tolerance for salinity, primarily tree crops such as almonds. The primary non-point source COCs in the Central Valley, due to the intense agricultural practices, are salinity or TDS and nitrate. These constituents have been studied in the Central Valley as part of the CV-SALTS and summarized in a series of technical reports including the mapping report by LSCE (2019b) described above. Salinity in the eastern portion of the Subbasin is generally low and meets the relevant drinking water standards for TDS. However, sufficient data are not available at this time to adequately delineate salinity in the western Subbasin. In general, TDS concentrations in the western Sacramento Valley are highest at the margin of the Coast Ranges and can naturally be above secondary drinking water standards due to local hydrogeologic factors and the presence of marine sediments (CH2M, 2016). &&&
3.2.6.3 Summary of the Major Groundwater Quality Concerns in the Subbasin
Major groundwater quality concerns are constituents with elevated or increasing concentrations, defined relative to the respective MCL and SMCL. Constituents identified as groundwater quality concerns within the Subbasin are identified in the bullets below and summarized in the following subsections. • Salinity (EC and TDS) • Nitrate • Arsenic&&&","Figure 3-37 thru 3-50 
Table 3-8 thru 3-9
Page 3-91 / 3.2.6.2
Page 3-92 / 3.2.6.2
Page 3-94 / 3.2.6.3","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes, Nitrate, Salinity (TDS), arsenic.
2. Are the COC's mapped? Yes
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? Yes
5. Is there a data gap/ Or not enough data related COC's? Groundwater quality is not measured in many wells in the western area as most of the wells are private domestic wells and are not part of groundwater quality monitoring programs.


"
WQ,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Somewhat,"Water sources utilized in the Subbasin include groundwater, surface water, and reused water from canal tailwater and agricultural drains. The primary water source supply in the Subbasin is groundwater, as shown on Figure 2-10. Surface water is accessible in limited portions of the Subbasin, as further described in the following subsection. Reclaimed wastewater is not reused for water supply in the Subbasin. A general summary of water source volume used annually in the Subbasin is provided in Table 2-3.","Figure 2-10 (2-14)
Table 2-3","GSP documents water sources for the whole basin, does not specify water sources for DACs. "
ISW/GDE,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"Except for concrete-lined canals and temporary ponds trapped atop the Red Bluff Formation, it is reasonable to assume that every surface water feature in the Corning Subbasin is at least partially hydrogeologically connected to groundwater. Using the North Sacramento IWFM Model (NSac) integrated hydrologic model, an analysis was conducted to determine where and when stream reaches (nodes in the model) are likely to be connected, and then where stream reaches are gaining or losing throughout the Subbasin. As shown on Figure 3-52, groundwater and surface water are interconnected year-round in the Sacramento River and parts of the year in some reaches of Stony Creek. Groundwater and surface water are likely disconnected in most of Thomes Creek. These model results largely correlate to previous studies and shallow groundwater data. There is a data gap for shallow groundwater monitoring near Thomes creek that will be addressed during GSP implementation. The percentage of time that stream nodes in the groundwater model are simulated as gaining provides an understanding of the gaining and losing conditions of each stream, as shown on Figure 3-53. Losing conditions may or may not mean that surface water is connected to groundwater, depending on the groundwater level near the streams. There is not enough groundwater level data, particularly along Thomes Creek, to know with certainty if and when groundwater and surface water are interconnected. A review of surface water-groundwater connection in the major surface water bodies in the Subbasin is presented in the paragraphs below.

&& Groundwater elevations at the start of simulation were developed for each model layer using groundwater level observations from DWR’s CASGEM and Water Data Library datasets (DWR, 2020).

&& Storage of streamflow is not tracked within the model, meaning that there is instantaneous routing of stream flows for each monthly timestep. Streamflow is simulated using a flow-state relationship derived from rating tables, and the wetted perimeter at each stream node is constant and does not change with respect to stream stage (DWR, 2020). Groundwater surface water interaction is simulated using IWFM stream package version 4.2.

&& One of the critical applications of the NSac for SGMA compliance will be to provide estimates of ”the quantity and timing” of historical depletion of interconnected surface water (§354.16(f)) and compare future projections of those depletions against thresholds specified by the SMC. Using a model to quantify depletion of interconnected surface water requires that the model accurately simulate locations of interconnected surface water. The NSac model generally reproduces the magnitude of observed stream-aquifer interaction, indicating it is a suitable tool for quantifying stream depletion.","Page 3-109 / 3.2.7.1

&& Page 12 / appendix 4A

&& Page 15 / appendix 4A

&& Page 23 / appendix 4A

Figure 3-52
Figure 3-53","1. Is there a clear map of ISWs? yes - figure 3-53 presents the percentage of time that the major streams in the basin are gaining groundwater from model simulations.
2. Was temporal variability and used and described? yes - figure 3-52 presents the simulated groundwater levels for September and March of 2011 and September and March of 2015. The legend of the ISW map (figure 3-53) says the simulation period is 1974-2015, but this is not mentioned or described in the text (all chapters and appendices). Figures 3-55 and 3-56 show groundwater elevations and net groundwater discharge to the Sacramento River for years 2000-2015 and 1975-2015, repectively. Temporal variability in ISWs is shown in figure 3-53.
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? somewhat no - other than the two hydrograph figures which show the location of two wells near the Sacramento River (figures 3-55 and 3-56), there are no details on the spatial distribution of shallow monitoring wells or screening depths used in the model. The monitoring network section includes fiure 5-10 which shows the ISW shallow groundwater wells, which do not provide adaquate coverage of the basin, but it is not known what wells are used in the model. In appendix 4A, the model is described to use groundwater levels from DWR's CASGEM, and no other information is provided. More details are needed to understand if ISWs were adaquately assessed.

Note: only the major streams were assesed, the creeks in the central basin were not described."
ISW/GDE,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Yes,"Sacramento River: The Sacramento River is generally connected to shallow groundwater across the Northern Sacramento Valley Region. In the Corning Subbasin, the Sacramento River is typically gaining (Figure 3-53), meaning that groundwater levels are higher than the stream stage, resulting in groundwater discharge to the River. In periods of high river flows and in areas with lower groundwater elevations than the stream stage, the River provides an important source of groundwater recharge to the Subbasin. The Sacramento River is controlled upstream of the Subbasin at the Shasta Dam and has several diversions and canals that either provide surface water to the Subbasin or downstream areas. The diversions and canals are discussed in more detail in Section 3.1.8.3.2. Thomes Creek: Thomes Creek is  mostly disconnected from groundwater and mostly losing water to groundwater in the Subbasin (Figure 3-53). In the past, some water from Thomes Creek was diverted for irrigation by riparian users, but now water used for irrigation near Thomes Creek is either from the Sacramento River diversion in Red Bluff or groundwater pumping. Thomes Creek often runs dry seasonally to the east of Henleyville.
Stony Creek: Stony Creek is likely connected to shallow groundwater in most reaches and alternates seasonally between gaining and losing conditions (Figure 3-53). Stony Creek streamflow is regulated by Black Butte Dam for flood control and irrigation supply. Surface water is typically present year-round in upper reaches where the creek is used to convey irrigation releases to the OUWUA irrigation canal system. Lower reaches of Stony Creek closer to the Sacramento River are seasonally dry. The fan alluvium surrounding Stony Creek is very transmissive, and Stony Creek is known as a significant source of direct groundwater recharge, particularly in areas of heavy groundwater use (DWR, 2004b; DWR, 2006b). In general, Stony Creek potentially provides direct recharge in the area from the Tehama Colusa Canal to the Sacramento River where groundwater is used extensively for irrigation. Upstream of the Tehama Colusa Canal, where surface water is used for irrigation, the roles are reversed, and Stony Creek receives significant baseflow from groundwater. More information on the Black Butte Dam and OUWUA irrigation canal system in provided in Section 3.1.8.3.2

&& As shown on Figure 3-52, groundwater and surface water are interconnected year-round in the Sacramento River and parts of the year in some reaches of Stony Creek. Groundwater and surface water are likely disconnected in most of Thomes Creek. These model results largely correlate to previous studies and shallow groundwater data. There is a data gap for shallow groundwater monitoring near Thomes creek that will be addressed during GSP implementation.",Page 3-109-110 / 3.2.7.1,"1. Are ISWs mapped in the basin? yes 
2. Is the mapping consistent with the assessment? somewhat - the plan concludes that Thomas River is mostly disconnected AND losing. Unsure if Thomas creek is considered ISW or not based on description. Figure 3-53 shows the majority of Thomas creek as 0% gaining, but some portions are labeled as 0.01-25% and 25.01-50% gaining. The plan later states again the Thomas River is likely disconnected. The plan should clarify the ISW conclusion with regards to Thomas Creek."
ISW/GDE,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged; shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (or related appendix)  (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowledged (in ISW section or related appendix)= yes","principal aquifer, shallow ",Yes,"Using the North Sacramento IWFM Model (NSac) integrated hydrologic model, an analysis wasconducted to determine where and when stream reaches (nodes in the model) are likely to be
connected, and then where stream reaches are gaining or losing throughout the Subbasin. As shown on Figure 3-52, groundwater and surface water are interconnected year-round in the Sacramento River and parts of the year in some reaches of Stony Creek. Groundwater and surface water are likely disconnected in most of Thomes Creek. These model results largely correlate to previous studies and shallow groundwater data. There is a data gap for shallow groundwater monitoring near Thomes creek that will be addressed during GSP implementation.",Page 3-109 / 3.2.7.1 ,"1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? yes - there is thought to be one unconfined principal aquifer in the basin
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s)? yes
"
ISW/GDE,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",Somewhat,"The interconnected surface water monitoring network includes data gaps that need to be addressed to characterize groundwater level fluctuation and its impact on stream stage and discharge for implementation of the GSP. For example, there is a lack of shallow observation wells currently available near connected streams to effectively monitor streamflow depletion in all portions of the Subbasin. This is a common data gap in the Sacramento Valley. For this initial GSP, a subset of the groundwater level shallow RMP observation wells will be used as a proxy. Two specific shallow monitoring well data gaps were identified in Section 5.2.5 that would help characterize groundwater and surface water interaction adjacent to Thomes Creek and the northern boundary of the Subbasin as shown on Figure 5-2.
Another monitoring location data gap is that many of the formerly active stream gauges in the Subbasin are no longer available for monitoring. Replacing or reviving the inactive stream gauge stations would provide adequate spatial coverage for streamflow monitoring in the Subbasin. TNC developed the Gage Gap mapping tool2 to identify streams that they believe have adequate or inadequate streamflow gaging information (TNC, 2019).",Page 5-39 / 5.6.3,"1. Were data gaps identified? yes- in monitoring network section 
2. Were the data gaps identified in the ISW section? no"
ISW/GDE,,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","no description or map of potential ISWs = no
1) partial inclusion of potential ISWs 2) only a description but no map or vice versa = somewhat
All uncertainties and data gaps are clearly described and mapped temporarily and spatially= yes","Interconnected surface water, ISW, data gap",Yes,"Stony Creek is likely connected to shallow groundwater in most reaches and alternates seasonally between gaining and losing conditions (Figure 3-53). Stony Creek streamflow is regulated by Black Butte Dam for flood control and irrigation supply. Surface water is typically present year-round in upper reaches where the creek is used to convey irrigation releases to the OUWUA irrigation canal system. Lower reaches of Stony Creek closer to the Sacramento River are seasonally dry. The fan alluvium surrounding Stony Creek is very transmissive, and Stony Creek is known as a significant source of direct groundwater recharge, particularly in areas of heavy groundwater use (DWR, 2004b; DWR, 2006b). In general, Stony Creek potentially provides direct recharge in the area from the Tehama Colusa Canal to the Sacramento River where groundwater is used extensively for irrigation. Upstream of the Tehama Colusa Canal, where surface water is used for irrigation, the roles are reversed, and Stony Creek receives significant baseflow from groundwater. More information on the Black Butte Dam and OUWUA irrigation canal system in provided in Section 3.1.8.3.2.",Page 3-110 / 3.2.7.1,"1. Is there a map AND description of pISW? yes - there is some discussion of ""potental"" connection of surface water and groundwater in the text, yet ISW are not labeled as pISWs. Figure 3-53 presents some temporal variation and uncertainty in ISWs by showing percentage of connection simulated by model"
ISW/GDE,,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","No description of flora and fauna in GDEs = no
1) lacking in either maps/description/inventory of flora and/or fauna 2) no mention of endandgered/threatened species= somewhat
Detailed inventory, maps, or description of flora AND fauna in GDEs. Also, Inclusion of any threatened and/or endangered species in the basin.= yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",Somewhat,"A list of threatened and endangered species that may rely on GDEs in the Subbasin was compiled using information available from the CDFW and TNC. Nine threatened and endangered species were identified that likely rely on GDE ecosystems in the Subbasin, summarized in Table 3-10.

&& The reduced list was cross-referenced with species-specific mapping information available from the CDFW and United States Fish and Wildlife Service in order to identify species that are likely to be found within the bounds of the Subbasin in areas where habitat is known to be groundwater dependent.13 14 Animals such as the gray wolf, Sierra Nevada red fox, and Humboldt marten that are only likely found at higher elevations of the counties outside of the bounds of the Subbasin were removed from the list. Similarly, plant species such as Hoover’s spurge, hairy and slender Orcutt grasses, and Colusa grass that are found in vernal pools were also removed from the list, as these are not groundwater dependent ecosystems in the Subbasin. Finally, the list was cross-referenced with the TNC Critical Species “LookBook” in order to confirm that the priority species are likely reliant on GDEs (Rohde et al., 2019).

&& There is some evidence that the deepest roots of valley oaks and possibly other mature GDE species can reach depths up to 80 feet, though most vegetative species do not have this capacity, and it is not known if rooting depths deeper than 30 feet are found in the Subbasin.","Page 3-123 / 3.2.7.3

&& page 3-123 / 3.2.7.3

&& Page 3-119 / 3.7.2.2

Table 3-10","1. Does the plan present the flora AND fauna in the basin's GDEs? Habitat types (in GDE section or related appendix)? somewhat - flora is briefly mentioned when discussing rooting depths because valley oak can have deeper roots than 30 feet. Flora is also mentioned when describing the vegeation removed, but there is no clear description, inventory, or map of flora in the basin. Fauna is described when presenting the critical and threatened species in the basin.
2. Does the plan acknowledge endangered/threatened/special status species in GDEs? yes - table 3-10"
ISW/GDE,,,Environment,1,"Were GDEs in the basin identified (mapped) and described in the GSP using best available data (e.g., NC dataset, localized VegMap data)? Please describe which data were used in the Notes.","No map of GDEs (or wetlands, riparian veg, etc.) = no
1) Map of NC dataset polygons with NDMI but no specific GDE maps, 2) Maps of GDEs but unclear data/methods used = somewhat
GSP used NC dataset or a localized vegMap to describe and map GDEs and included a clear description of methods = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, VegMap",Yes,"This section identifies potential GDEs using the following 3 criteria: 1. iGDEs exist as defined by The Nature Conservancy and DWR. 2. The area is near a riverine environment and existing data demonstrate surface water and groundwater are interconnected. 3. Water levels in this area are consistently less than 30 feet below ground surface, the maximum groundwater level thought to be accessible to the deepest root systems of GDE species. There is some anecdotal evidence that plants can extend roots to greater depths than 30 feet in some cases. An area must meet all 3 criteria to be considered a potential GDE. Figure 3-57 displays indicators of GDEs in the Subbasin. Along the boundaries of the Subbasin, Thomes Creek, Stony Creek, and the Sacramento River are identifiable as having potential GDEs by the presence of high density of groundwater dependent vegetation and potentially shallow water levels. In the central and eastern part of the basin, Burch Creek and Hall Creek also have characteristic vegetation associated with potential GDEs. The area near Burch and Hall Creek is known to have perched groundwater in at least 1 well (Figure 3-28). Groundwater dependent wetlands are mostly limited to the widest streams, those being the Sacramento River and where Stony Creek flows out from Black Butte Lake.

&& Groundwater level data for Spring 2018 for CASGEM wells in the Subbasin with depths less than 150 feet bgs were reviewed and mapped with the iGDE areas on Figure 3-58. Spring 2018 was a relatively high groundwater level for many Subbasin wells, relative to the groundwater level records since SGMA was enacted on January 1, 2015. Almost all of the wells used in the shallow groundwater level analysis were installed with screened intervals between 50 and 150 feet bgs, though well screen and annular seal information was not available for all wells. In summary, plant communities indicative of potential GDEs are present in the Corning Subbasin shown on Figure 3-59. These are likely supported by groundwater found at depths less than 30 feet bgs in close proximity to the Sacramento River on the eastern Subbasin boundary and Stony Creek in the southeastern portion of the Subbasin near Hamilton City. Many of the stream reaches mapped as potential GDEs are overgrown with invasive species such as arundo and tamarisk. The GSAs do not intend to protect non-native invasive species habitat and in fact, intend to support arundo eradication efforts, as described in more detail in the Projects and Management Actions in Section 7 of this GSP. Shallow groundwater is found in some central portions of the Subbasin where Burch Creek and Hall Creek, which are ephemeral, merge before flowing into the Sacramento River; this could be due to perched groundwater fed by surface water runoff in this area.

","Page 3-117 / 3.2.7.2

&& Page 3-119 / 3.2.7.2

FIgure 3-57

Figure 3-58 

Figure 3-59","1. Is there a map?  yes - figure 3-57 presents ""indicators"" of GDEs from NC dataset. Figure 3-59 shows the final refined GDE map with NC dataset GDEs removed
2. Is there a description of data sources and processing (in GDE section or related appendix)? (describe in notes) yes - there is a description of the methods and data used. "
ISW/GDE,,,Environment,1,Was depth-to-groundwater data from the underlying principal aquifer used to verify the NC dataset?,"No groundwater depth data described = no
Groundwater measurements used but lack of detail in describing depth to groundwater data. Also there might be a lack of information on which aquifer the data is from. = somewhat
depth to groundwater is clearly used and description of spatial/temporal data is included = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, depth to groundwater",Yes,"Groundwater level data for Spring 2018 for CASGEM wells in the Subbasin with depths less than 150 feet bgs were reviewed and mapped with the iGDE areas on Figure 3-58. Spring 2018 was a relatively high groundwater level for many Subbasin wells, relative to the groundwater level records since SGMA was enacted on January 1, 2015. Almost all of the wells used in the shallow groundwater level analysis were installed with screened intervals between 50 and 150 feet bgs, though well screen and annular seal information was not available for all wells.",Page 3-119 / 3.2.7.2,"1. Is data from shallowest principal aquifer used? yes
2. Is there a description of the data (in GDE section or related appendix)? (spatial, temporal, proximity to GDEs?) yes - screening depth and well locations are described
"
ISW/GDE,,,Environment,2,"Did the GSP avoid using any of the following criteria when deciding whether or not to remove NC dataset polygons from the final GDE map?: 1)Presence of Surface Water, 2)Distance from agricultural fields, 3)Principal aquifer was not considered main pumping aquifer, 4)groundwater connection % of time, 5)Other?  If so, please specify in the Notes. ","GSP uses one of the above criteria (or other illogical reason) to remove a potential GDE = no
Unclear whether or not plan used these criteria = somewhat
The GSP does not include any of these criteria to remove a NC dataset polygon = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset",No,"For example, Thomes Creek does not have enough shallow groundwater level monitoring to evaluate changes in groundwater levels relative to GDE vegetation vigor",Page 3-119 / 3.2.7.2,"The plan removed almost all of the NC dataset GDEs around Thomas Creek on the northern edge of the basin in Figure 3-59 (final GDE map), despite there not being any shallow groundwater wells nearby, except for one (see figure 3-58). The plan removed GDEs around Thomas Creek because they decided that the maximum rooting depth is 30 feet in the basin  Based on figure 3-58, the plan concluded that the majority of Thomas Creek is not in an area with groundwater <30 feet deep, despite there not being nearly enough wells near Thomas Creek to determine that. Also, the groundwater data that was used to remove GDEs in areas of groundwater depth >30 feet was only from 2018. The plan should not have removed these GDEs, rather they should have stayed in figure 3-59 as pGDEs"
ISW/GDE,,,Environment,2,"Were multiple water year types (e.g., wet, average, dry) of groundwater level data used to characterize groundwater conditions in the GDEs? If so, please indicate which years and water year types in the Notes.","Only 1 year of data or no data used to characterize gw conditions in GDE = no
The plan lacks a description of multi-year groundwater level data and/or only post-drought or post- SGMA benchmark data is used (after 2015)  = somewhat
1. Detailed explanation of the multi-year groundwater data used and 2. groundwater data from prior to recent drought = yes","groundwater conditions, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, depth to groundwater, depth to water",No,Groundwater level data for Spring 2018 for CASGEM wells in the Subbasin with depths less than 150 feet bgs were reviewed and mapped with the iGDE areas on Figure 3-58.,Page 3-119 / 3.2.7.2,"Note: 
water year type does not need to be explictely mentioned when groundwater data used multiple years of known wet and dry periods

only 2019 groundwater data used in assessment"
ISW/GDE,,,Environment,2,Were depth-to-groundwater measurements under GDEs corrected for land surface elevations?,"depth to water measurements interpolated from wells = no
Model is said to use groundwater elevations, but did not state that they corrected for land surface elevation = somewhat
It is explicit that groundwater measurements used to verify GDEs are correct for land surface elevation = yes","DEM, digital elevation model, land surface elevation, depth to groundwater, GDE, groundwater dependent ecosystem",No,,,1. Was a digital elevation model (DEM) or Lidar data used to correct for land surface elevation? no mention of a DEM or Lidar data used to correct for land surface
ISW/GDE,,,Environment,2,Were data gaps identified when mapping GDEs?,"No data gaps identified when there likely should be = no
Vague description of a lack of data or data gaps mentioned in other section of GSP = somewhat
Clear description of data gaps (spatial and temporal) in text and/or mapped = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, data gap, shallow monitoring well, shallow aquifer",Yes,"GDE extent in general is not well refined in the Subbasin and is a data gap that will be addressed during GSP implementation with additional data collection and ground-truthing. For example, Thomes Creek does not have enough shallow groundwater level monitoring to evaluate changes in groundwater levels relative to GDE vegetation vigor. In addition, evidence reported by local stakeholders and farmers suggests that the central area of the Subbasin includes invasive species and is probably mostly fed by irrigation water runoff. GDE health over time can be assessed by the GSAs in the future relative to changes in groundwater elevation and streamflow using new remote sensing tools that evaluate changes in vegetation vigor such as the Nature Conservancy’s GDE Pulse.11 The GSAs plan to further refine GDE mapping and assess the impact on GDEs due to streamflow depletion",Page 3-119 / 3.2.7.2,"1. Were data gaps identified? yes
2. Were the data gaps identifed in the GDE section? yes"
ISW/GDE,,,Environment,2,"In the case of data gaps and uncertainty, were potential GDEs mapped and described in the GSP?","Potential GDEs are not mapped or described in plan  = no
Vague description of potential GDEs and/or no map; wrong methods for assuming non-GDEs = somewhat
Potential GDEs are clearly acknowledged and mapped. = yes","potential groundwater dependent ecosystem, potential GDE, potential groundwater-dependent ecosystem, data gap",Somewhat,"This section identifies potential GDEs using the following 3 criteria: 1. iGDEs exist as defined by The Nature Conservancy and DWR. 2. The area is near a riverine environment and existing data demonstrate surface water and groundwater are interconnected. 3. Water levels in this area are consistently less than 30 feet below ground surface, the maximum groundwater level thought to be accessible to the deepest root systems of GDE species. There is some anecdotal evidence that plants can extend roots to greater depths than 30 feet in some cases.",Page 3-117 / 3.2.7.2,"1. Is there a map AND description of pGDEs? somewhat - figure 3-59 is labeled ""Potential GDEs identified in subbasin"" and the plan describes the process it took to defne the pGDEs, yet, where data gaps exist, the plan did not includes GDEs as pGDEs. The iGDEs near Thomas Creek were almost all removed based on depth to groundwater, even though the plan stated that the shallow groundwater is a data gap in that area."
CC/Other,,Water Budget,Ecosystems,1,"Does the GSP include water demands for native vegetation in the historic, current, and projected water budgets?","No: No mention of evapotranspiration for the water budget
Somewhat: Numerical models that include different land cover classes in evapotranspiration 
Yes: Riparian Evapotranspiration separated out in the water budget charts or tables ","water budget, native vegetation, phreatophyte",Yes,"Land Surface Outflows:
• Deep Percolation to Groundwater - Recharge from precipitation or water applied at surface that percolates to groundwater
• Evapotranspiration - Water transpired by crops and native vegetation or evaporated into the atmosphere
&&
Surface Water Outflows:
•Riparian Evapotranspiration – Evapotranspiration of surface water by plants along riparian corridors","Page 4-7 / 4.1.1.2
Page 4-9 / 4.1.1.3","1. Is the water budget made with a spreadsheet model or numerical model? Numerical
2. Is there a line for Native Veg ET in the water budget? Only in Surface Sater budgets, as Riparian ET; listed as just ET in Land Surface budgets, not included in GW budgets
"
