Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
ISW/GDE,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"Results of this analysis and indicate that much of the mainstem of the Petaluma River, along with the much of Tolay Creek and the lower reaches of Lichau, Lynch, Washington, Adobe, Ellis, and Capri creeks are likely interconnected surface waters. The characterization of the upper reaches of the Petaluma River (upstream of the confluence with Lynch Creek) as interconnected surface water is also supported by data from shallow monitoring well PET0172 and water quality findings by the USGS (Teague, Citation forthcoming). Improvements to mapping of interconnected surface water has been identified as a data gap that will be addressed during implementation of the GSP.",Page 3-49-50 / 3.2.6.1,"1. Are ISWs mapped in the basin? no
2. Is the mapping consistent with the assessment? somewhat - no map but a vague description of the interconnected surface water in the basin. Unsure where the stream segements that are considered not connected are located"
ISW/GDE,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged; shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (or related appendix)  (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowledged (in ISW section or related appendix)= yes","principal aquifer, shallow ",Yes,"The characterization of the upper reaches of the Petaluma River (upstream of the confluence with Lynch Creek) as interconnected surface water is also supported by data from shallow monitoring well PET0172 and water quality findings by the USGS (Teague, Citation forthcoming).

&& Based on available data and information, a single principal-aquifer system is proposed for the Basin. The principal aquifer system consists of the following aquifer units, which have been identified within the Basin and contributing watershed areas and described by the USGS: the Petaluma and Wilson Grove Formations, Sonoma Volcanics, Quaternary mixed unit, and, to a lesser degree, the Quaternary alluvial deposits","Page 3-50 / 3.2.6.1

&& Page 3-16 / 3.1.5","1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? yes - the plan does acknowledge the one unconfined aquifer in describing ISWs by recognizing a shallow well, but that is it. Very vague. 
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s)? yes
"
ISW/GDE,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",Yes,Improvements to mapping of interconnected surface water has been identified as a data gap that will be addressed during implementation of the GSP.,Page 3-50 / 3.2.6.1,"1. Were data gaps identified? yes
2. Were the data gaps identified in the ISW section? yes"
ISW/GDE,,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","no description or map of potential ISWs = no
1) partial inclusion of potential ISWs 2) only a description but no map or vice versa = somewhat
All uncertainties and data gaps are clearly described and mapped temporarily and spatially= yes","Interconnected surface water, ISW, data gap",Somewhat,"Results of this analysis and indicate that much of the mainstem of the Petaluma River, along with the much of Tolay Creek and the lower reaches of Lichau, Lynch, Washington, Adobe, Ellis, and Capri creeks are likely interconnected surface waters. The characterization of the upper reaches of the Petaluma River (upstream of the confluence with Lynch Creek) as interconnected surface water is also supported by data from shallow monitoring well PET0172 and water quality findings by the USGS (Teague, Citation forthcoming). Improvements to mapping of interconnected surface water has been identified as a data gap that will be addressed during implementation of the GSP.",Page 3-49-50 / 3.2.6.1,1. Is there a map AND description of pISW? somewhat - no map but brief description of likely ISWs
ISW/GDE,,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","No description of flora and fauna in GDEs = no
1) lacking in either maps/description/inventory of flora and/or fauna 2) no mention of endandgered/threatened species= somewhat
Detailed inventory, maps, or description of flora AND fauna in GDEs. Also, Inclusion of any threatened and/or endangered species in the basin.= yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",Yes,"For mapping aquatic species GDEs, species listed in Critical Species LookBook (Rohde et al. 2019) were identified and include steelhead, Chinook salmon, coho salmon, California red-legged frog, and California tiger salamander. The Critical Species LookBook is a compendium of 84 state and federally listed species that are likely to be affected by groundwater management and merit consideration by GSAs under the SGMA. Also, the federal and state endangered California freshwater shrimp was added at the request of resource agency staff. California tiger salamander was excluded because this species has “no known reliance on groundwater” (Rohde et al. 2019). The distribution of target species (species or groups of species specifically chosen for long-term monitoring) is based on Leidy et al. (2005), Salmonid Sample Frame Development for Coastal Monitoring Plan Implementation in the Russian River Watershed, and California Natural Diversity Database.

&& Vegetation GDEs were mapped by using the high-resolution local Sonoma County Veg Map (Sonoma Veg Map 2013). Classifications considered to have a potential reliance on groundwater included the following general classifications: • Riparian Woodland • Oak Woodland • Freshwater Marsh and Aquatic. To identify where these vegetation classes are likely to have some connection with groundwater conditions within the Basin, the rooting depths of common tree species were compared to available depth-to-groundwater mapping. Following guidance from TNC, potential vegetation GDEs were mapped for areas with depth to groundwater of 30 feet or less to incorporate the potential rooting depths of oak trees (TNC 2018).","Page 3-50-51 / 3.2.6.2

&& page 3-51 / 3.2.6.2","1. Does the plan present the flora AND fauna in the basin's GDEs? Habitat types (in GDE section or related appendix)? yes- flora and fauna are at least mentioned in the plan and the broad GDE habitat types are listed
2. Does the plan acknowledge endangered/threatened/special status species in GDEs? yes - the plan acknolwedged multiple critical species in the basin"
ISW/GDE,,,Environment,1,"Were GDEs in the basin identified (mapped) and described in the GSP using best available data (e.g., NC dataset, localized VegMap data)? Please describe which data were used in the Notes.","No map of GDEs (or wetlands, riparian veg, etc.) = no
1) Map of NC dataset polygons with NDMI but no specific GDE maps, 2) Maps of GDEs but unclear data/methods used = somewhat
GSP used NC dataset or a localized vegMap to describe and map GDEs and included a clear description of methods = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, VegMap",Yes,"Aquatic Species Groundwater Dependent Ecosystems: For mapping aquatic species GDEs, species listed in Critical Species LookBook (Rohde et al. 2019) were identified and include steelhead, Chinook salmon, coho salmon, California red-legged frog, and California tiger salamander. The Critical Species LookBook is a compendium of 84 state and federally listed species that are likely to be affected by groundwater management and merit consideration by GSAs under the SGMA. Also, the federal and state endangered California freshwater shrimp was added at the request of resource agency staff. California tiger salamander was excluded because this species has “no known reliance on groundwater” (Rohde et al. 2019). The distribution of target species (species or groups of species specifically chosen for long-term monitoring) is based on Leidy et al. (2005), Salmonid Sample Frame Development for Coastal Monitoring Plan Implementation in the Russian River Watershed, and California Natural Diversity Database. In Petaluma Valley, the following streams were identified as potential habitat for at least one target species: Adobe, Ellis, Lichau, Lynch, Wiggins, and Willow Brook Creeks and the Petaluma River. Steelhead was the most widespread species occurring in each of the streams except Ellis and Wiggins Creeks, which were identified based on the occurrence of red-legged frogs.
Vegetation Groundwater Dependent Ecosystems: Vegetation GDEs were mapped by using the high-resolution local Sonoma County Veg Map (Sonoma Veg Map 2013). Classifications considered to have a potential reliance on groundwater included the following general classifications: • Riparian Woodland • Oak Woodland • Freshwater Marsh and Aquatic. To identify where these vegetation classes are likely to have some connection with groundwater conditions within the Basin, the rooting depths of common tree species were compared to available depth-to-groundwater mapping. Following guidance from TNC, potential vegetation GDEs were mapped for areas with depth to groundwater of 30 feet or less to incorporate the potential rooting depths of oak trees (TNC 2018). The depth to groundwater mapping utilized available contoured springtime datasets for the shallow aquifer system (from 2015 and 2016) and high-resolution LiDAR data. To address GDE Work Group member concerns that groundwater-levels were generally at lower levels in 2015 and 2016 due to dry conditions, minor adjustments in some areas were made to incorporate the shallowest depth to water on record for each well based on a review of all available data from 2005 to 2020. Additionally, all riparian woodland and oak woodland habitat within 100 feet of mapped interconnected surface waters were included as potential vegetation GDEs.
Integrated Potential Groundwater Dependent Ecosystem Map: The potential aquatic species GDEs and the potential vegetation GDEs were then integrated into a single potential GDE map presented on Figure 3-20.","Page 3-50-51 / 3.2.6.2

Figure 3-20","1. Is there a map?  yes - figure 3-20
2. Is there a description of data sources and processing (in GDE section or related appendix)? (describe in notes) The plan mapped vegetation using high-resolution local mapping from the Sonoma Country Veg Map. The methods of assessment were described and included a depth to groundwater analysis and including any riparian woodland and oak woodland habitat within 100 feet of mapped ISWs as pGDEs. Figure 3-20 only includes the final GDE map."
ISW/GDE,,,Environment,1,Was depth-to-groundwater data from the underlying principal aquifer used to verify the NC dataset?,"No groundwater depth data described = no
Groundwater measurements used but lack of detail in describing depth to groundwater data. Also there might be a lack of information on which aquifer the data is from. = somewhat
depth to groundwater is clearly used and description of spatial/temporal data is included = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, depth to groundwater",Yes,"Following guidance from TNC, potential vegetation GDEs were mapped for areas with depth to groundwater of 30 feet or less to incorporate the potential rooting depths of oak trees (TNC 2018). The depth to groundwater mapping utilized available contoured springtime datasets for the shallow aquifer system (from 2015 and 2016) and high-resolution LiDAR data. To address GDE Work Group member concerns that groundwater-levels were generally at lower levels in 2015 and 2016 due to dry conditions, minor adjustments in some areas were made to incorporate the shallowest depth to water on record for each well based on a review of all available data from 2005 to 2020",Page 3-51 / 3.2.6.2,"1. Is data from shallowest principal aquifer used? yes - the plan states that groundwater from the shallowest aquifer was used in assessment
2. Is there a description of the data (in GDE section or related appendix)? (spatial, temporal, proximity to GDEs?) somewhat - the plan does not include any details about the spatial location of monitoring wells. The temporal range of data is described
"
ISW/GDE,,,Environment,2,"Did the GSP avoid using any of the following criteria when deciding whether or not to remove NC dataset polygons from the final GDE map?: 1)Presence of Surface Water, 2)Distance from agricultural fields, 3)Principal aquifer was not considered main pumping aquifer, 4)groundwater connection % of time, 5)Other?  If so, please specify in the Notes. ","GSP uses one of the above criteria (or other illogical reason) to remove a potential GDE = no
Unclear whether or not plan used these criteria = somewhat
The GSP does not include any of these criteria to remove a NC dataset polygon = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset",Yes,,,
ISW/GDE,,,Environment,2,"Were multiple water year types (e.g., wet, average, dry) of groundwater level data used to characterize groundwater conditions in the GDEs? If so, please indicate which years and water year types in the Notes.","Only 1 year of data or no data used to characterize gw conditions in GDE = no
The plan lacks a description of multi-year groundwater level data and/or only post-drought or post- SGMA benchmark data is used (after 2015)  = somewhat
1. Detailed explanation of the multi-year groundwater data used and 2. groundwater data from prior to recent drought = yes","groundwater conditions, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, depth to groundwater, depth to water",Somewhat,"Following guidance from TNC, potential vegetation GDEs were mapped for areas with depth to groundwater of 30 feet or less to incorporate the potential rooting depths of oak trees (TNC 2018). The depth to groundwater mapping utilized available contoured springtime datasets for the shallow aquifer system (from 2015 and 2016) and high-resolution LiDAR data. To address GDE Work Group member concerns that groundwater-levels were generally at lower levels in 2015 and 2016 due to dry conditions, minor adjustments in some areas were made to incorporate the shallowest depth to water on record for each well based on a review of all available data from 2005 to 2020",Page 3-51 / 3.2.6.2,"Note: 
water year type does not need to be explictely mentioned when groundwater data used multiple years of known wet and dry periods

It seems that the majority of the data was from 2015 and 2016. Unsure what areas the 2005-2020 shallowest depth to water was recorded and used. More clarification and detail is needed here."
ISW/GDE,,,Environment,2,Were depth-to-groundwater measurements under GDEs corrected for land surface elevations?,"depth to water measurements interpolated from wells = no
Model is said to use groundwater elevations, but did not state that they corrected for land surface elevation = somewhat
It is explicit that groundwater measurements used to verify GDEs are correct for land surface elevation = yes","DEM, digital elevation model, land surface elevation, depth to groundwater, GDE, groundwater dependent ecosystem",Yes,"Following guidance from TNC, potential vegetation GDEs were mapped for areas with depth to groundwater of 30 feet or less to incorporate the potential rooting depths of oak trees (TNC 2018). The depth to groundwater mapping utilized available contoured springtime datasets for the shallow aquifer system (from 2015 and 2016) and high-resolution LiDAR data.",Page 3-51 / 3.2.6.2,1. Was a digital elevation model (DEM) or Lidar data used to correct for land surface elevation? The plan mentions the use of Lidar data
ISW/GDE,,,Environment,2,Were data gaps identified when mapping GDEs?,"No data gaps identified when there likely should be = no
Vague description of a lack of data or data gaps mentioned in other section of GSP = somewhat
Clear description of data gaps (spatial and temporal) in text and/or mapped = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, data gap, shallow monitoring well, shallow aquifer",Somewhat,"As further described in Section 4 and Section 7, additional studies and data gathering are recommended during the implementation of the GSP to better define the mapping and relationship of GDEs to groundwater conditions within the Basin.",Page 3-51 / 3.2.6.2,"1. Were data gaps identified? somewhat - vaguely mentioned in GDE section is the need for more data gathering and section 4 also suggests this, but unsure exactly what data and where 
2. Were the data gaps identifed in the GDE section? somewhat"
ISW/GDE,,,Environment,2,"In the case of data gaps and uncertainty, were potential GDEs mapped and described in the GSP?","Potential GDEs are not mapped or described in plan  = no
Vague description of potential GDEs and/or no map; wrong methods for assuming non-GDEs = somewhat
Potential GDEs are clearly acknowledged and mapped. = yes","potential groundwater dependent ecosystem, potential GDE, potential groundwater-dependent ecosystem, data gap",Yes,The potential aquatic species GDEs and the potential vegetation GDEs were then integrated into a single potential GDE map presented on Figure 3-20.,Page 3-51 / 3.2.6.2,"1. Is there a map AND description of pGDEs? the text references figure 3-20 as ""potential"" GDEs, but no clear discussion or descpription of pGDEs in assessment."
CC/Other,,Water Budget,Ecosystems,1,"Does the GSP include water demands for native vegetation in the historic, current, and projected water budgets?","No: No mention of evapotranspiration for the water budget
Somewhat: Numerical models that include different land cover classes in evapotranspiration 
Yes: Riparian Evapotranspiration separated out in the water budget charts or tables ","water budget, native vegetation, phreatophyte",No,"Groundwater Outflows:
• Groundwater pumpage (including municipal, rural-domestic, and agricultural)
• Subsurface Boundary Outflows:
o Boundary flow to Santa Rosa Plain
o Boundary flow to the Petaluma River
o Boundary flow to the Baylands
o Groundwater outflow to Wilson Grove
• Surface Leakage – Rejected recharge occurring where phreatic water levels exceed ground surface elevation
• Groundwater ET from crops, native vegetation, and riparian vegetation","Page 3-56 / 3.3.1.1
Tables 3-3, 3-2, 3-8","1. Is the water budget made with a spreadsheet model or numerical model? Numerical (based on MODFLOW)
2. Is there a line for Native Veg ET in the water budget? No; included with crop ET as Evaporation/transpiration from groundwater
"
CC/Other,,,Ecosystems,1,"Does the GSP include water demands for managed wetlands in the historic, current, and projected water budgets?","No: No line item or description of managed wetlands’ water demands in water budgets even if wetlands are discussed in other areas of GSP. No mention of managed wetlands in GSP.  
Somewhat: Managed wetlands are part of the numerical model or spreadsheet model assumptions but not included as a separate line item
Yes: Separate line item for managed wetlands in water budgets","water budget, managed wetlands",Not Applicable,,,"1. Is the water budget made with a spreadsheet model or numerical model?
2. Is there a line for Managed Wetlands in the water budget?
"
CC/Other,,,Climate Change,1,"Does the GSP incorporate climate change into the projected water budget using DWR change factors or other source? If other, please specify in the Notes. If DWR change factors were used, indicate in the Notes whether the GSP use 2030 factors, 2070 factors, or both?","No: Climate change not incorporated into projected water budget
Somewhat: Use a different climate model other than DWR change factors but description of methodology is unclear
Yes: Climate change is incorporated and methods are clearly stated","water budget, climate change, change factors, 2030, 2070",Yes,"The overall approach for selecting and simulating projected climate change can be summarized as follows:
1. Chose a projected GCM with a specific greenhouse gas emission scenario
a. Review DWR-recommended GCMs and chose one GCM and emissions scenario that best represents projected median conditions in the Russian River Watershed area (including groundwater basins)
2. Updated model inputs for:
a. Precipitation
b. Temperature/ET
c. Groundwater inflow
d. Sea level rise boundary conditions at San Pablo Bay
3. Used climate data in the model to:
a. Define precipitation and calculate potential ET and actual evaporation and transpiration
b. Calculate projected irrigation water demands and groundwater pumping
c. Evaluate the effects of projected sea level rise on groundwater levels
Projections of future climate conditions are generally performed through GCMs forced with specific global greenhouse gas emission scenarios (IPCC 2013). A description of GCM selection is provided in Appendix 3-D. Sea level rise assumptions were developed and applied separately.
General Circulation Model Projection
The projections reviewed for purposes of developing this GSP relied upon available climate projections using the models and emissions scenarios included in the Coupled Model Intercomparison Project 5 (CMIP5). Twenty individual downscaled GCM projections were reviewed using ten different GCMs and two different Representative Concentration Pathways (RCPs), RCP 4.5 and RCP 8.5. The 10 GCMs were chosen by the DWR Climate Change Technical Advisory Group based on a regional evaluation of climate model ability to reproduce a range of historical climate conditions (DWR CCTAG 2015).
For GSP planning purposes, it is desirable to identify projected climate scenarios that more specifically represent the climate and hydrologic conditions within the Russian River watershed and Sonoma County. The evaluation identified the HadGEM2-ES GCM as best representing the middle of the ensemble for mean climate and hydrologic metrics for the Russian River watershed, because it did not stray to any of the extremes for other metric rankings.
Greenhouse Gas Emissions Scenario
Emissions scenarios are possible pathways that society might take regarding the emission of greenhouse gas in the future. Each is categorized as an RCP. DWR has recommended the use of two potential RCPs: RCP 4.5 and RCP 8.5. RCP 4.5 is sometimes considered “most likely” based on current projections of greenhouse gas emissions, and RCP 8.5 is often known as “worst-case scenario.” However, experts and scientists may differ on this. Based on a review of groundwater model results from simulating the combination of each RCP with the chosen HadGEM2-ES GCM, and a discussion with the advisory committees and GSA Board, RCP 8.5 was selected for this GSP, because the HadGEM2-ES RCP 8.5 simulation provides a long-term drought after the middle of the twenty-first century that allows for a significant stress test for groundwater resources planning during the GSP implementation horizon.",Page 3-75 / 3.3.6.1,"1. Is climate change incorporated? Yes
2. Do they use DWR change factors (climate period analysis), transitory analysis or something else (describe)? Used a DWR recommended RCP 8.5 & 4.5 along with 10 GCMs (narrowed down to one of each: RCP 8.5 the HadGEM2-ES GCM)
3. If using DWR climate change factors, do they use 2030, 2070 or both?"
CC/Other,,,Climate Change,1,"Does the GSP consider multiple climate scenarios (e.g., the 2070 wet and 2070 extremely dry) scenarios in the projected water budget? If there are other scenarios considered in the GSP, please specify in the Notes.","No: Only one climate scenario used
Somewhat: no somewhat for this question
Yes: Multiple climate scenarios used (wet / extremely dry) and provided in projected water budget","projected water budget, 2070",No,"General Circulation Model Projection
The projections reviewed for purposes of developing this GSP relied upon available climate projections using the models and emissions scenarios included in the Coupled Model Intercomparison Project 5 (CMIP5). Twenty individual downscaled GCM projections were reviewed using ten different GCMs and two different Representative Concentration Pathways (RCPs), RCP 4.5 and RCP 8.5. The 10 GCMs were chosen by the DWR Climate Change Technical Advisory Group based on a regional evaluation of climate model ability to reproduce a range of historical climate conditions (DWR CCTAG 2015).
For GSP planning purposes, it is desirable to identify projected climate scenarios that more specifically represent the climate and hydrologic conditions within the Russian River watershed and Sonoma County. The evaluation identified the HadGEM2-ES GCM as best representing the middle of the ensemble for mean climate and hydrologic metrics for the Russian River watershed, because it did not stray to any of the extremes for other metric rankings.
Greenhouse Gas Emissions Scenario
Emissions scenarios are possible pathways that society might take regarding the emission of greenhouse gas in the future. Each is categorized as an RCP. DWR has recommended the use of two potential RCPs: RCP 4.5 and RCP 8.5. RCP 4.5 is sometimes considered “most likely” based on current projections of greenhouse gas emissions, and RCP 8.5 is often known as “worst-case scenario.” However, experts and scientists may differ on this. Based on a review of groundwater model results from simulating the combination of each RCP with the chosen HadGEM2-ES GCM, and a discussion with the advisory committees and GSA Board, RCP 8.5 was selected for this GSP, because the HadGEM2-ES RCP 8.5 simulation provides a long-term drought after the middle of the twenty-first century that allows for a significant stress test for groundwater resources planning during the GSP implementation horizon.",Page 3-75 / 3.3.6.1,"1. If they use DWR climate change factors, which scenarios do they use? (central tendency, extreme wet, extreme dry)
2. If other than DWR factors, which combination(s) of RCP and GCM do they use? RCP 8.5 in combination with the HadGEM2-ES GCM
3. If other than DWR factors, do they use an ensemble of models or single model run? Appears to be a single model run; 10 GCMs and 2 RCPs were recommended and considered, but ultimately only one of each was used in the budget development."
CC/Other,,,Climate Change,2,Does the GSP incorporate climate change into precipitation inputs for the projected water budget?,"No: Precipitation not adjusted for climate change in inputs for projected water budget
Somewhat: no somewhat for this question
Yes: Precipitation adjusted for climate change either through change factors or other model projections for the projected water budget","projected water budget, precipitation, input",Yes,"The overall approach for selecting and simulating projected climate change can be summarized as follows:
1. Chose a projected GCM with a specific greenhouse gas emission scenario
a. Review DWR-recommended GCMs and chose one GCM and emissions scenario that best represents projected median conditions in the Russian River Watershed area (including groundwater basins)
2. Updated model inputs for:
a. Precipitation
b. Temperature/ET
c. Groundwater inflow
d. Sea level rise boundary conditions at San Pablo Bay
3. Used climate data in the model to:
a. Define precipitation and calculate potential ET and actual evaporation and transpiration
b. Calculate projected irrigation water demands and groundwater pumping
c. Evaluate the effects of projected sea level rise on groundwater levels",Page 3-75 / 3.3.6.1,
CC/Other,,,Climate Change,2,Does the GSP incorporate climate change into evapotranspiration inputs for the projected water budget?,"No: Evapotranspiration not adjusted for climate change in projected water budget inputs
Somewhat: no somewhat for this question
Yes: Evapotranspiration adjusted for climate change either through change factors or other model projections in projected water budgets","projected water budget, evapotranspiration, ET, input",Yes,"The overall approach for selecting and simulating projected climate change can be summarized as follows:
1. Chose a projected GCM with a specific greenhouse gas emission scenario
a. Review DWR-recommended GCMs and chose one GCM and emissions scenario that best represents projected median conditions in the Russian River Watershed area (including groundwater basins)
2. Updated model inputs for:
a. Precipitation
b. Temperature/ET
c. Groundwater inflow
d. Sea level rise boundary conditions at San Pablo Bay
3. Used climate data in the model to:
a. Define precipitation and calculate potential ET and actual evaporation and transpiration
b. Calculate projected irrigation water demands and groundwater pumping
c. Evaluate the effects of projected sea level rise on groundwater levels",Page 3-75 / 3.3.6.1,
CC/Other,,,Climate Change,2,"Does the GSP incorporate climate change into surface water flow inputs (e.g., imported water, streamflow) for the projected water budget?","No: Surface water inputs are not accounted for in projected water budgets
Somewhat: CC in surface water flows, BUT imported water not adjusted 
Yes: Surface water flows adjusted for climate change (DWR change factors for spreadsheet model, modeled with adjusted precip and ET for numerical model) and if there is imported water, it is adjusted as well.","projected water budget, surface water flow, input",Somewhat,"Surface Water Inflows:
• Runoff – Runoff of precipitation and excess irrigation
• Surface water boundary inflow – Lichau Creek, Willow Brook, Lynch Creek, Adobe Creek, Wiggins Hill Creek, San Antonio Creek, Petaluma River, and combination of all other smaller streams
• Groundwater discharge to streams
&&
The major urban water supplier in the Basin is the City of Petaluma, which relies primarily on imported Russian River water supplied by Sonoma Water.","Page 3-55 / 3.3.1.1
Page ES-5 / ES.2
Tables 3-4--3-6, 3-15, 3-16","1. Is the water budget made with a numerical model or spreadsheet model? Numerical
2. If spreadsheet, are DWR surface water change factors included?
3. Is there imported water in the water budget? Is this adjusted for climate change? Water imported from Russian River not accounted for in the budget or adjusted."
CC/Other,,,Climate Change,2,Does the GSP incorporate climate change into sea level inputs for the projected water budget?,"No: Does not mention or apply sea level rise into projected water budget though located in vicinity of coastal region
Somewhat: no somewhat for this question
Yes: Clear sea level rise projections under climate change incorporated into projected water budget","projected water budget, sea level, input",Yes,"Sea Level Rise Assumptions
Future sea level rise due to climate change may impact groundwater conditions near San Pablo Bay. Sea level rise guidance provided by the California Natural Resources Agency (CNRA 2018) was used to provide a sea level rise trajectory to be simulated. The PVIHM was modified to simulate the 1-in-200 change (0.5 percent probability) sea level rise trajectory under the high emissions scenario, which results in a projected sea level rise of 3.5 feet at the end of the projected 50-year water budget. The choice of the 1-in-200 change scenario is consistent with (1) the choice of emissions scenario considered for future climate to be simulated by the model, and (2) sea level rise assumptions used for the Sonoma Creek Baylands Strategy (Sonoma Land Trust and San Francisco Bay Restoration Authority 2020). Exchanges between the aquifer and San Pablo Bay, and between the aquifer and the tidally influenced Petaluma River are simulated in both the historical and future period as a head-dependent flow using the General Head Boundary package. Future sea-level rise was simulated by converting the sea level rise trajectory to freshwater equivalent head, and adding to the historic freshwater equivalent head used to represent both the bay and the tidally influenced Petaluma River in the PVIHM future simulation. Projected climate based on the selected GCM will represent WY 2021 through WY 2070.",Page 3-76 / 3.3.6.1,
CC/Other,,,Climate Change,2,Does the GSP calculate a sustainable yield based on the projected water budget with climate change incorporated?,"No: Sustainable yield not provided or is not calculated based on projected water budget with climate change
Yes: Sustainable yield is calculated based on projected water budget with climate change (ranges based on different future scenarios is OK)","sustainable yield, projected water budget",Yes,"The sustainable yield of the Basin is 8,000 AFY of total groundwater pumping. Both the estimated current average groundwater pumping of 4,500 AFY and the projected future groundwater pumping of 2,300 AFY are below the sustainable yield. There is a significant amount of uncertainty in the estimate of the sustainable yield and as new information is developed, the sustainable yield will be refined and updated.
&&
The sustainable yield is a function of the climate conditions in which it is calculated (Loaiciga 2016). The WY 2002–WY 2011 period is likely to be similar to those of the projected 20-year implementation period. If future climate conditions are better represented by the hotter and drier conditions simulated in the WY 2050–WY 2070 period of the projected scenario rather than the wetter WY 2021–WY 2040 period, then the sustainable yield will need to be reduced, projects and management actions will need to occur, or both, to allow for the Basin to avoid undesirable results.
&&
The sustainable yield of the Subbasin is an estimate of the quantity of groundwater that can be pumped on a long-term average annual basis without causing undesirable results. Basinwide pumping within the sustainable yield estimate is neither a measure of, nor proof of, sustainability. Sustainability under SGMA is only demonstrated by avoiding undesirable results for the six applicable sustainability indicators in the Subbasin. However, estimates of sustainable yield using the historical simulations may prove useful in estimating the need for projects and management actions to help achieve sustainability.
&&
The 16-year period from WY 2025 to 2040 is used to determine the sustainable yield of the Subbasin (Figure 3-45). This period is selected based on the following factors:
•The sustainable yield is derived from a portion of the Projected Baseline conditions that include impacts of climate change. The selected period is representative of long-term conditions. There is a mix of wet (5, 31 percent), very wet (1, 6 percent), dry (1, 6 percent), and normal years (9, 56 percent), during a warming climate","Page ES-11 / ES.3.6
Page 3-91 / 3.4
Page 3-137 / 3.5
Page 3-138 / 3.5","Some confusing wording about using ""historical simulations"" and using water years 2002-2011 to derive SY, but SY is derived from estimates of future water conditions (WY 2025-2040) with climate change incorporated."
