Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Becky,,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","No description of flora and fauna in GDEs = no
1) lacking in either maps/description/inventory of flora and/or fauna 2) no mention of endandgered/threatened species= somewhat
Detailed inventory, maps, or description of flora AND fauna in GDEs. Also, Inclusion of any threatened and/or endangered species in the basin.= yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",Yes,,Table 8; Table 9; Table 10,"1. Does the plan present the flora AND fauna in the basin's GDEs? Habitat types? Yes - Plan does a great job listing and describing the flora and fauna in the basin's GDEs. Table 8 presents NC dataset vegetation types in GDEs. Fish and aquatic habitat described well.
2. Does the plan acknowledge endangered/threatened/special status species in GDEs? Yes - Table 9 presents endangered/threatened species in basin and their habitat range was evaulated using BIOS viewer. Detailed description of specials status species reliance on groundwater included.",
Becky,,,Environment,1,"Were GDEs in the basin identified (mapped) and described in the GSP using best available data (e.g., NC dataset, localized VegMap data)? Please describe which data were used in the Notes.","No map of GDEs (or wetlands, riparian veg, etc.) = no
1) Map of NC dataset polygons with NDMI but no specific GDE maps, 2) Maps of GDEs but unclear data/methods used = somewhat
GSP used NC dataset or a localized vegMap to describe and map GDEs = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, VegMap",Somewhat,"As a first step in considering the potential effects of Basin operations on groundwater dependent ecosystems, the types and geographic extent of GDEs in the Basin were identified and mapped. Spatial datasets indicating the presence of potential GDEs, made available by the Nature Conservancy (Klausmeyer 2018), were used as a starting point. These datasets were evaluated against groundwater depth data, local expertise, and satellite imagery and categorized to produce the maps in Figure 19. && The iGDE dataset, a data product created by the Nature Conservancy (TNC) to assist GSAs complete this component of their GSPs (TNC 2021, Klausmeyer 2018), was used as a starting point for the GDE inventory exercise. The presence and geographic extent of this groundwater dependent vegetation were verified through an evaluation by the ad hoc committee. Changes to the initial dataset were reflected in the GDE map by adding locally recognized GDEs or removing some GDE polygons. The resulting map is shown in Figure 19",Page 76 / 2.2.1.8 && Page 79 / 2.2.1.8,"1. Is there a map? Yes - NC Dataest used to map GDEs
2. Is there a description of data sources and processing? (describe in notes) Somewhat -lack of description of the other methods/data used by the Ad Hoc Committee when removing and adding GDE polygons.",
Becky,,,Environment,1,Was depth-to-groundwater data from the underlying principal aquifer used to verify the NC dataset?,"No groundwater depth data described/mentioned = no
Groundwater measurements used but lack of detail in describing depth to groundwater data. Also there might be a lack of information on which aquifer the data is from. = somewhat
depth to groundwater is clearly used and description of spatial/temporal data is included = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, depth to groundwater",Somewhat,"As a first step in considering the potential effects of Basin operations on groundwater dependent ecosystems, the types and geographic extent of GDEs in the Basin were identified and mapped. Spatial datasets indicating the presence of potential GDEs, made available by the Nature Conservancy (Klausmeyer 2018), were used as a starting point. These datasets were evaluated against groundwater depth data, local expertise, and satellite imagery and categorized to produce the maps in Figure 19.",Page 76 / 2.2.1.8,"1. Is data from shallowest principal aquifer used? No/somewhat (uncertain)
2. Is there a description of the data? (spatial, temporal, proximity to GDEs?) No - The plan refers to the Surface Water Ad Hoc committee that was formed to evaluate GDEs. It is stated that groundwater depth data, local expertise, and satellite imagery were used to produce the map in Figure 19, but no details are provided. It is impossible to know if the methods used were correct.",Changed from no to somewhat since groundwater data was said to be used in GDE assessment
Becky,,,Environment,2,"Did the GSP avoid using any of the following criteria when deciding whether or not to remove NC dataset polygons from the final GDE map?: 1)Presence of Surface Water, 2)Distance from agricultural fields, 3)Principal aquifer was not considered main pumping aquifer, 4)groundwater connection % of time, 5)Other?  If so, please specify in the Notes. ","GSP uses one of the above criteria (or other illogical reason) to remove a potential GDE = no
Unclear whether or not plan used these criteria . = somewhat
The GSP does not include any of these criteria to remove a NC dataset polygon = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset",Yes,,,Assuming yes because there was no clear description of methods for including/removing NC dataset polygons,
Becky,,,Environment,2,"Were multiple water year types (e.g., wet, average, dry) of groundwater level data used to characterize groundwater conditions in the GDEs? If so, please indicate which years and water year types in the Notes.","Only 1 year of data or no data used to characterize gw conditions in GDE = no
The plan lacks a description of multi-year groundwater level data and/or only post-drought or post- SGMA benchmark data is used (after 2015)  = somewhat
1. Detailed explanation of the multi-year groundwater data used and 2. groundwater data from prior to recent drought = yes","groundwater conditions, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, depth to groundwater, depth to water",No,,,"Note: 
water year type does not need to be explictely mentioned when groundwater data used multiple years of known wet and dry periods

No groundwater data mentioned",
Becky,,,Environment,2,Were depth-to-groundwater measurements under GDEs corrected for land surface elevations?,"depth to water measurements interpolated from wells = no
Model is said to use groundwater elevations, but did not state that they corrected for land surface elevation = somewhat
It is explicit that groundwater measurements used to verify GDEs are correct for land surface elevation = yes","DEM, digital elevation model, land surface elevation, depth to groundwater, GDE, groundwater dependent ecosystem",No,,,1. Was a digital elevation model (DEM) or Lidar data used to correct for land surface elevation? No groundwater data mentioned,
Becky,,,Environment,2,Were data gaps identified when mapping GDEs?,"No data gaps identified when there likely should be = no
Vague description of a lack of data or data gaps mentioned in other section of GSP = somewhat
Clear description of data gaps (spatial and temporal) in text and/or mapped = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, data gap, shallow monitoring well, shallow aquifer",Somewhat,"Data from the National Wetlands Inventory, The Nature Conservancy, and other sources (as detailed in Section 2.2.1.8) was used to identify groundwater dependent ecosystems (GDEs) in the Basin. While the results of the initial GDE inventory were evaluated by the Surface Water Ad Hoc Committee, physical verification has not been completed. There is therefore some uncertainty between riparian and non-riparian GDEs that were mapped and the existence and extent of these GDEs on the ground. Satellite images evaluated twice per year would provide information on the health of GDEs over time and would be critical to fully understand their seasonal cycles.",Page 6 / Appendix 3-A && Table 2 / Appendix 3-A,"1. Were data gaps identified? Somewhat - data gaps identified in appendix 3-A
2. Were the data gaps identifed in the GDE section? No mention of lacking data or data gaps in GDE section, but appendix 3-A addresses data gaps in GDE monitoring/characterization",
Becky,,,Environment,2,"In the case of data gaps and uncertainty, were potential GDEs mapped and described in the GSP?","Potential GDEs are not mapped or described in plan  = no
Vague description of potential GDEs and/or no map; wrong methods for assuming non-GDEs = somewhat
Potential GDEs are clearly acknowledged and mapped. = yes","potential groundwater dependent ecosystem, potential GDE, potential groundwater-dependent ecosystem, data gap",No,,,"1. Is there a map AND description of pGDEs? No discussion or map of pGDEs; The Surface Water Ad Hoc Committee added and removed some GDE polygons, but no clear description of the process or potential GDEs",
Lauren,,Water Budget,Ecosystems,1,"Does the GSP include water demands for native vegetation in the historic, current, and projected water budgets?","No: No mention of evapotranspiration for the water budget
Somewhat: Numerical models that include different land cover classes in evapotranspiration 
Yes: Riparian Evapotranspiration separated out in the water budget charts or tables ","water budget, native vegetation, phreatophyte",Somewhat,"The streamflow regression model is a statistical tool used to estimate tributary inflows at the valley margins when upper watershed flow data are unavailable (“streamflow regression model”) (Foglia et al. 2013). These estimates are based on statistical correlations with the flow at the USGS Gauge 11519500 (Fort Jones Gauge). The landscape, soil, and underlying vadose zone of the Basin and their hydrologic fluxes (L) are simulated in the soil water budget model (SWBM) (Foglia et al. 2013). SWBM computes groundwater needs and evapotranspiration of crops and native vegetation for 2,119 individual parcels, each characterized by soil type, crop or other land use, whether or not it is irrigated, the source of irrigation water (surface water diversion, groundwater pumping, or both, depending on availability of surface water), and the type of irrigation (subsurface irrigation, flood irrigation, wheel-line sprinkler irrigation, center pivot sprinkler irrigation).
&&
Evaporative demand, or evapotranspiration by crops and native vegetation (ET), is the primary driver of the model.","Page 113 / 2.2.3.1
Page 117 / 2.2.3.2

","1. Is the water budget made with a spreadsheet model or numerical model?
Numerical Model
2. Is there a line for Native Veg ET in the water budget?
No line specifically for Native Veg; no projected budget at all",
Lauren,,,Ecosystems,1,"Does the GSP include water demands for managed wetlands in the historic, current, and projected water budgets?","No: No line item or description of managed wetlands’ water demands in water budgets even if wetlands are discussed in other areas of GSP. No mention of managed wetlands in GSP.  
Somewhat: Managed wetlands are part of the numerical model or spreadsheet model assumptions but not included as a separate line item
Yes: Separate line item for managed wetlands in water budgets","water budget, managed wetlands",Not Applicable,,,"1. Is the water budget made with a spreadsheet model or numerical model?
Numerical model
2. Is there a line for Managed Wetlands in the water budget?
No

",
Lauren,,,Climate Change,1,"Does the GSP incorporate climate change into the projected water budget using DWR change factors or other source? If other, please specify in the Notes. If DWR change factors were used, indicate in the Notes whether the GSP use 2030 factors, 2070 factors, or both?","No: Climate change not incorporated into projected water budget
Somewhat: Use a different climate model other than DWR change factors but description of methodology is unclear
Yes: Climate change is incorporated and methods are clearly stated","water budget, climate change, change factors, 2030, 2070",No,"The climate-influenced variables Precipitation (as rain), Reference Evapotranspiration (ETref), and tributary stream inflow were altered to represent four climate change scenarios: 
a. Near-future climate, representing conditions in the year 2030 (held over the entire 50-year projection) 
b. Far-future climate, representing central tendency of projected conditions in the year 2070 (held over the entire 50-year projection) 
c. Far-future climate, Wet with Moderate Warming (WMW), representing the wetter extreme of projected conditions in the year 2070 (held over the entire 50-year projection) 
d. Far-future climate, Dry with Extreme Warming (DEW), representing the drier extreme of projected conditions in the year 2070 (held over the entire 50-year projection)",Page 125 / 2.2.4,"1. Is climate change incorporated?
Yes
2. Do they use DWR change factors (climate period analysis), transitory analysis or something else (describe)?
DWR change factors
3. If using DWR climate change factors, do they use 2030, 2070 or both?
Both 2030 and 2070 change factors used; however, a quantified projected water budget is not included in this draft (not included in Appendix 2-C as stated in GSP)",
Lauren,,,Climate Change,1,"Does the GSP consider multiple climate scenarios (e.g., the 2070 wet and 2070 extremely dry) scenarios in the projected water budget? If there are other scenarios considered in the GSP, please specify in the Notes.","No: Only one climate scenario used
Somewhat: no somewhat for this question
Yes: Multiple climate scenarios used (wet / extremely dry) and provided in projected water budget","projected water budget, 2070",No,"To inform long-term hydrologic planning, the future projected water budget was developed using the following method: 
1. Observed weather and streamflow parameters from water years 1991-2011 were used multiple times to make a 50-year “Basecase” climate record (see Table X in Appendix 2-C for details). The Basecase projection represents a hypothetical future period in which climate conditions are the same as conditions from 1991-2011. 
2. The climate-influenced variables Precipitation (as rain), Reference Evapotranspiration (ETref), and tributary stream inflow were altered to represent four climate change scenarios: 
a. Near-future climate, representing conditions in the year 2030 (held over the entire 50-year projection) 
b. Far-future climate, representing central tendency of projected conditions in the year 2070 (held over the entire 50-year projection) 
c. Far-future climate, Wet with Moderate Warming (WMW), representing the wetter extreme of projected conditions in the year 2070 (held over the entire 50-year projection) 
d. Far-future climate, Dry with Extreme Warming (DEW), representing the drier extreme of projected conditions in the year 2070 (held over the entire 50-year projection) 
3. The SVIHM was run for the 50-year period of water years 2022-2071 for the Basecase and all four projected climate change scenarios.",Page 125 / 2.2.4,"1. If they use DWR climate change factors, which scenarios do they use? (central tendency, extreme wet, extreme dry)
All DWR climate scenarios considered; no actual projected budget included, however
2. If other than DWR factors, which combination(s) of RCP and GCM do they use?
3. If other than DWR factors, do they use an ensemble of models or single model run?
",
Lauren,,,Climate Change,2,Does the GSP incorporate climate change into precipitation inputs for the projected water budget?,"No: Precipitation not adjusted for climate change in inputs for projected water budget
Somewhat: no somewhat for this question
Yes: Precipitation adjusted for climate change either through change factors or other model projections for the projected water budget","projected water budget, precipitation, input",No,"The climate-influenced variables Precipitation (as rain), Reference Evapotranspiration (ETref), and tributary stream inflow were altered to represent four climate change scenarios: 
a. Near-future climate, representing conditions in the year 2030 (held over the entire 50-year projection) 
b. Far-future climate, representing central tendency of projected conditions in the year 2070 (held over the entire 50-year projection) 
c. Far-future climate, Wet with Moderate Warming (WMW), representing the wetter extreme of projected conditions in the year 2070 (held over the entire 50-year projection) 
d. Far-future climate, Dry with Extreme Warming (DEW), representing the drier extreme of projected conditions in the year 2070 (held over the entire 50-year projection)","Page 125 / 2.2.4
Figure 25
Figure 29
Figure 30","Precipitation taken into account for current water budget, and stated to be taken into account when using DWR climate change factors, but no actual projected water budget present in GSP. Would likely get a YES if this projection was included",
Lauren,,,Climate Change,2,Does the GSP incorporate climate change into evapotranspiration inputs for the projected water budget?,"No: Evapotranspiration not adjusted for climate change in projected water budget inputs
Somewhat: no somewhat for this question
Yes: Evapotranspiration adjusted for climate change either through change factors or other model projections in projected water budgets","projected water budget, evapotranspiration, ET, input",No,"The climate-influenced variables Precipitation (as rain), Reference Evapotranspiration (ETref), and tributary stream inflow were altered to represent four climate change scenarios: 
a. Near-future climate, representing conditions in the year 2030 (held over the entire 50-year projection) 
b. Far-future climate, representing central tendency of projected conditions in the year 2070 (held over the entire 50-year projection) 
c. Far-future climate, Wet with Moderate Warming (WMW), representing the wetter extreme of projected conditions in the year 2070 (held over the entire 50-year projection) 
d. Far-future climate, Dry with Extreme Warming (DEW), representing the drier extreme of projected conditions in the year 2070 (held over the entire 50-year projection)","Page 125 / 2.2.4
Figure 25
Figure 20","Evapotranspiration taken into account for current water budget, and stated to be taken into account when using DWR climate change factors, but no actual projected water budget present in GSP. Would likely get a YES if this projection was included",
Lauren,,,Climate Change,2,"Does the GSP incorporate climate change into surface water flow inputs (e.g., imported water, streamflow) for the projected water budget?","No: Surface water inputs are not accounted for in projected water budgets
Somewhat: CC in surface water flows, BUT imported water not adjusted 
Yes: Surface water flows adjusted for climate change (DWR change factors for spreadsheet model, modeled with adjusted precip and ET for numerical model) and if there is imported water, it is adjusted as well.","projected water budget, surface water flow, input",No,"Conversely, the impact of future climate conditions on surface flows is highly dependent on which scenario is selected (Figure 32). Near and Far scenarios show minimal differences from historical basecase flow conditions. The Dry scenario shows some periods of notably reduced flow, while the Wet scenario shows some years with much higher flow than historical basecase flow conditions.","Page 126 / 2.2.4
Figure 32",Surface flows acknowledged to vary based on climate scenarios; no actual projected water budget included in this version of the GSP,
Lauren,,,Climate Change,2,Does the GSP incorporate climate change into sea level inputs for the projected water budget?,"No: Does not mention or apply sea level rise into projected water budget though located in vicinity of coastal region
Somewhat: no somewhat for this question
Yes: Clear sea level rise projections under climate change incorporated into projected water budget","projected water budget, sea level, input",Not Applicable,,,,
Lauren,,,Climate Change,2,Does the GSP calculate a sustainable yield based on the projected water budget with climate change incorporated?,"No: Sustainable yield not provided or is not calculated based on projected water budget with climate change
Yes: Sustainable yield is calculated based on projected water budget with climate change (ranges based on different future scenarios is OK)","sustainable yield, projected water budget",No,"For the Scott Valley, the sustainable yield is equal to the 28 year average groundwater pumping of 42 thousand acre-feet per year minus any future reduction in groundwater pumping resulting from the implementation of project and management actions (see Chapter 4) to meet the milestones and, after 2042, the minimum threshold and measurable objectives for the interconnected surface water indicator and for the water level indicator.",Page 131 / 2.2.5,"SY based on historic pumping levels (42,000 acre-ft/yr), not on the projected water budget
No projected water budget included in GSP",
Sara,SUSTAINABLE MANAGEMENT CRITERIA,Undesirable Results,Domestic,1,Does the GSP analyze direct or indirect impacts on domestic drinking wells when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels and 2) Water Quality (See line 24)?,"NO: no mention Somewhat: explicit mention of drinking water users, but not well analyzed; mention impact on one of the UR, mentioning some of the COCs. YES: clear impact on drinking water users & explanation of all COCs","domestic well, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",Somewhat,"Effects of Undesirable Results on Beneficial Uses and Users Undesirable results would prevent an unknown number of private, agricultural, industrial, or municipal production wells from supplying groundwater to meet their water demands. Some wells may even go dry temporarily. Chronic well outages are not expected in Scott Valley due to the lack of long-term overdraft and seasonal variation in water levels. Temporary well outages may initially affect the shallowest wells, which tend to be located in the valley bottom and in some locations, tend to be domestic wells. Municipal Drinking Water Users – Undesirable results due to declining groundwater levels can adversely affect current and projected municipal users, causing increased costs for potable water supplies. &&& SMC are defined for two constituents: specific conductivity and nitrate. These identified COCs are consistent with the threats to groundwater quality highlighted in the Staff Report for the North Coast Hydrologic Region Salt and Nutrient Management Planning Groundwater Basin Evaluation and Prioritization (NCRWQCB 2020). Although benzene is identified as a potential constituent of concern in Section 2.2.3, no SMC is defined for benzene as current benzene data are associated with leaking underground storage tanks (LUST) where the source of benzene is known and monitoring and remediation are in progress. These sites will be taken into consideration with PMAs undertaken by the GSA, as applicable. As part of the sustainability goal for the Basin, the specific objective for groundwater quality is to maintain a groundwater resource that meets the water quality needs of beneficial uses and users in the Basin, as regulated by federal and state water quality standards and regional water quality objectives.&&&& Municipal Drinking Water Users – Under California law, agencies that provide drinking water are required to routinely sample groundwater from their wells and compare the results to state and federal drinking water standards for individual chemicals. Groundwater quality that does not meet state drinking water standards may render the water unusable or may cause increased costs for treatment. For municipal suppliers, impacted wells potentially may be taken offline until a solution is found, depending on the configuration of the municipal system in question. Where this temporary solution is feasible, it will add stress to and decrease the reliability of the overall system. 
• Rural and/or Agricultural Residential Drinking Water Users – Residential structures not located within the service areas of the local municipal water agency will typically have private domestic groundwater wells. Such wells may not be monitored routinely and groundwater quality from those wells may be unknown unless the landowner has initiated testing and shared the data with other entities. Degraded water quality in such wells can lead to rural residential use of groundwater that does not meet potable water standards and results in the need for installation of new or modified domestic wells and/or well-head treatment that will provide groundwater of acceptable quality. 

","Page 34 / 3.4.1.1
Figure 5
Figure 6
Page 42 / 3.4.3","1. Do they mention Drinking water users for UR? YES
2. Which URs mention Drinking Water Users? Groundwater Elevation, Groundwater quality
3. Are impacts to Drinking Water users well analyzed? (mention well elevation and quality impacts) Yes
4. Are all impacts of all COCs described? They have mentioned NItrate and Specific conductivity. However they haven't set UR for Benzene because it is not defined by SMC and since the source is known it will be taken care of in PMA section.",
Martha/Sara,,,DACs,1,"Does the GSP analyze direct and indirect impacts on DACs when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, and 2) Water Quality (see line 24)?","NO: no mention of DACs Somewhat: mention DACs, but not well analyzed Yes: impacts to DACs analyzed and described (describe impact to DAC well elevations/quality)","disadvantaged communit*, DAC, tribal, tribe, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention DACs for UR? No
2. Which URs mention DACs?
3. Are impacts to DACs well analyzed?
",
Martha/Sara,,,Tribes,1,"Does the GSP analyze direct and indirect impacts on Tribes when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality (see line 24), and 3) Depletions of Interconnected Surface Waters?","NO: no mention of Tribes 
Somewhat: mention Tribes, but not well analyzed
Yes: impacts to tribes analyzed and described (describe impact to Tribal wells/elevations)","disadvantaged communit*, DAC, tribal, tribe, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",Somewhat,"Avoiding significant degradation of groundwater quality is central to protecting uses that rely on groundwater. Categories of beneficial uses of groundwater in the North Coast Region, as listed in the Basin Plan, include municipal and domestic supply, agricultural and stock water supply, industrial service supply, industrial process supply, aquaculture, and Native American culture. Specific uses of groundwater in Scott Valley include groundwater use for irrigation in agriculture, a significant part of the local economy, as stock water, and as a municipal and domestic water source. Importantly, beneficial uses also include groundwater- dependent ecosystems and instream habitat where and when groundwater contributes to streamflow.",page 42 / 3.4.3,"1. Do they mention Tribes for UR? YES (Just mention)
2. Which URs mention Tribes? Groundwater quality
3. Are impacts to Tribes well analyzed? They have analyzed impacts on beneficial users not mentioning tribes.

No mention of Tribes in GW elevation or ISW section. They need to explain what is the UR for tribes. (However, this is the first GSP which actually mentions Tribes in their SMC section)
",
Becky/Sara,,,Ecosystems,1,"Does the GSP analyze direct and indirect impacts on GDEs when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality, and 3) Depletions of Interconnected Surface Waters?","NO: no mention of GDEs Somewhat: mention GDEs, but not well analyzed; only for 1 or 2 URs Yes: impacts to GDEs analyzed and described ( impacts to specific species - cause and effect ecosystem, e.g. dieback, impacts to habitat)","groundwater dependent ecosystem, GDE, groundwater-dependent ecosystem, instream, environment, undesirable result, groundwater levels, water quality, groundwater quality, depletion of surface water, ISW",Yes,"Deep groundwater levels may result in significant and unreasonable reduction of groundwater flow toward streams and groundwater dependent ecosystems. This would adversely affect ecosystem functions related to baseflow and stream temperature, as well as resident species. && Environmental Uses – Poor quality groundwater may result in the migration of  contaminants that could affect groundwater dependent ecosystems or instream environments and their resident species. Poor quality groundwater may also add nutrients to water bodies that produce adverse ecological effects, including eutrophication && Environmental Land Uses and Land Users – depletions of interconnected surface water may negatively affect the following: near-stream habitats for plant and animal  species; instream ecosystems, including habitat necessary for reproduction, development, and migration of fish and other aquatic organisms; terrestrial ecosystems reliant on surface water; and wildlife that rely on surface waters as a food or water source. Additionally, low flow conditions can result in increased stream temperature that can be  inhospitable to aquatic organisms, including anadromous fish. Low streamflow can also  lead to increased concentrations of nutrients which can result in eutrophication",Page 34 / 3.4.1.1 && Page 46 / 3.4.3.1 &&  Page 55 / 3.4.5.1,"1. Do they mention GDEs for UR? Yes
2. Which URs mention GDEs? GW elevation, GW quality, ISW
3. Are impacts to GDEs well analyzed? Yes

they have done a good job explaining all three UR indicators separately and then making a separate conclusion for ISW
",
Sara,,Minimum Thresholds,All,2,Does the GSP establish Water Quality minimum thresholds and measurable objectives for the identified constituents/contaminents identified in the plan area (see line 24)? Please identify which constituents have Minimum Thresholds and Measurable Objectives in the Notes.,No - none Somewhat - only some COCs Yes - both,"minimum threshold, water quality, groundwater quality, contaminent, constituent of concern, COC",Somewhat,"SMC were developed for two of the COCs in the Basin, nitrate and specific conductivity.
Table 6: Constituents of concern and their associated maximum thresholds. Maximum thresholds also include a 15% average increase per year over ten years in no more than 25% of wells, and no more than 25% of wells exceeding the maximum threshold for concentration listed here.","Page 46 / 3.4.3.2
Table 6
Figure 10","1. Are MT and MO set for COCs? Yes, Figure 10
2. Do they set MT and MO for all COCs? NO,

They have set MT and MO for nitrate and Specific conductivity, not for Benzene. Based on waterboards.ca The MCL for Benzene in California is 1 microgram/l. which this GSP fails to set that.",
Sara ,,,All,2,"Are Water Quality minimum thresholds based on or within the Maximum Contaminent levels (MCLs)? Answer Yes = for identified constituents; Somewhat = for some of the identified constituents; No = none of the identified constituents; Not Applicable should never be an answer for this question. Note: Secondary MCLs are ok for TDS, sulfate, chloride, manganese, iron.",No - none Somewhat - only some COCs Yes - both,"maximum contaminent level, MCL, minimum threshold, water quality, groundwater quality, contaminent, constituent of concern, COC",Yes,"The GSA will use concentrations of the identified COCs (nitrate and specific conductivity) as triggers for preventative action to proactively avoid the occurrence of undesirable results. Trigger values are identified for both nitrate as nitrogen and specific conductivity, as shown in Table 6. The trigger value and associated definition for specific conductivity is the 90% upper limit, or 90 percentile values for a calendar year, as specified in the Basin Plan. The Title 22 water quality objective for nitrate is incorporated by reference into the Basin Plan and the triggers provided in Table 6 correspond to 90% of the Title 22 MCL.","Page 46 / 3.4.3.2
Table 6
Figure 10","1. Are MT set at MCL level for COCs? YES
2. Are all MT set at MCL level? No, only for nitrate and specific conductivity not for benzene

The MT is set for Specific conductivity SMCL, 900 microgram/l source: https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/ddw_secondary_standards.pdf
The MT is set at 10 mg/l for nitrate

However, The MT and MO is set to MCL level


",
Sara,,,Drinking Water Users,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed groundwater elevation and water quality minimum thresholds on drinking water users (e.g., domestic wells, municipal water suppliers)? ",NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, disadvantaged communit*, drinking water users, domestic, domestic wells, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention impact of groundwater elevation MT on drinking water users? no
2. Do they mention impact of water quality MT on drinking water users? no
3. Do they use quantitative data to describe the harm of crossing the MT? 

",
Martha/Sara,,,DACs,1,Does the GSP evaluate the cumulative or indirect impacts of proposed groundwater elevation and water quality minimum thresholds on DACs?,NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, disadvantaged communit*, DAC, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention impact of groundwater elevation MT on DACs? NO
2. Do they mention impact of water quality MT on DACs?
3. Do they use quantitative data to describe the harm to DACs of crossing the MT?

",
Martha/Sara,,,Tribes,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed groundwater elevetion, ISW and water quality minimum thresholds on Tribes? ",NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, disadvantaged communit*, DAC, tribal, tribe, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention impact of groundwater elevation MT on Tribes? No
2. Do they mention impact of water quality MT on Tribes?
2. Do they mention impact of ISW MT on Tribes?
4. Do they use quantitative data to describe the harm to Tribes of crossing the MT?
",
Becky/Sara,,,Ecosystems,1,Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds for groundwater elevations and ISW on GDEs or environmental beneficial users of surface water?,NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, environmental beneficial user, instream, groundwater levels, water quality, groundwater quality, depletion of surface water ISW",No,"Minimum thresholds are selected to avoid undesirable results for other sustainability indicators. In the Basin, groundwater levels are directly related to groundwater storage and groundwater-dependent ecosystems outside of streams.
Depletions of Interconnected Surface Water – Though groundwater elevations are related to the depletions of interconnected surface water, groundwater elevations are too noisy to be a suitable proxy for surface water depletion in Scott Valley (see Section 3.3.5). Consequently, this GSP proposes to monitor stream depletion by simulating stream-aquifer fluxes, not measured groundwater elevations. Additional analysis during the GSP update will be used to determine if the current groundwater level minimum thresholds would have a negative impact on depletions of interconnected surface water. • Seawater Intrusion – This sustainability indicator is not applicable in this Basin. • Groundwater Quality – A significant and unreasonable condition for degraded water quality is exceeding drinking water standards for COCs in supply wells due to projects and management actions proposed in the GSP. Groundwater quality could potentially be affected by projects and management action-induced changes in groundwater elevations and gradients. These changes could potentially cause poor quality groundwater to flow towards supply wells that would not have otherwise been impacted. ",Page 40 / 3.4.1.6,"1. Do they mention impact of groundwater elevation MT on GDEs? No
2. Do they mention impact of ISW MT on GDEs? No
3. Do they use quantitative data to describe the harm of crossing each of the MT? Yes, not mentioning GDE though
No clear evaluation of the impacts of MTs on GDEs

They have done an thorough study on ISW section related to UR and MO, but no clear impact of impact on GDE",
Sara,,Measurable Objectives,Drinking Water Users,2,Does the GSP consider Drinking Water Users when establishing water quality and groundwater elevation measurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"drinking water users, domestic, measurable objective, water quality, groundwater quality, contaminent, constituent of concern, COC",No,,,"1. Does the GSP mention Drinking Water Users for water quality MO? No
2. Does the GSP mention Drinking Water Users for groundwater elevation MO? No
3. Do they justify/evaluate the MOs based on Drinking Water users water needs? No
",
Martha/Sara,,,DACs,2,Does the GSP consider DACs when establishing water quality and groundwater elevation measurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"measurable objectives, disadvantaged communities, DAC",No,,,"1. Does the GSP mention DACs for groundwater elevation MO? No
2. Does the GSP mention DACs for ISW MO?
3. Do they justify/evaluate the MOs based on DAC water needs?

",
